SKU,ONYX BLACK,WHITE SHAKER,ESPRESSO SHAKER,SIGNATURE BLUE,Grey Shaker,Uptown White,Modern Slate,Dark Green Slim Shaker,Gray Shaker
B09,476.0,433.0,476.0,476.0,433.0,476.0,476.0,476.0,
B12,618.0,562.0,618.0,618.0,562.0,618.0,618.0,618.0,
B15,677.0,615.0,677.0,677.0,615.0,677.0,677.0,677.0,
B18,706.0,642.0,706.0,706.0,642.0,706.0,706.0,706.0,
BWBK18-2,1311.0,1192.0,1311.0,1311.0,1192.0,1311.0,1311.0,1311.0,
B21,754.0,685.0,754.0,754.0,685.0,754.0,754.0,754.0,
B24,806.0,733.0,806.0,806.0,733.0,806.0,806.0,806.0,
B27,971.0,883.0,971.0,971.0,883.0,971.0,971.0,971.0,
B30,1007.0,915.0,1007.0,1007.0,915.0,1007.0,1007.0,1007.0,
B33,1054.0,958.0,1054.0,1054.0,958.0,1054.0,1054.0,1054.0,
B36,1095.0,995.0,1095.0,1095.0,995.0,1095.0,1095.0,1095.0,
B42,1330.0,1209.0,1330.0,1330.0,1209.0,1330.0,1330.0,1330.0,
B09FHD,421.0,383.0,421.0,421.0,383.0,421.0,421.0,421.0,
B24FHD,751.0,683.0,751.0,751.0,683.0,751.0,751.0,751.0,
3DB12,883.0,803.0,883.0,883.0,803.0,883.0,883.0,883.0,
3DB15,942.0,856.0,942.0,942.0,856.0,942.0,942.0,942.0,
3DB18,982.0,893.0,982.0,982.0,893.0,982.0,982.0,982.0,
3DB21,1024.0,931.0,1024.0,1024.0,931.0,1024.0,1024.0,1024.0,
3DB24,1071.0,974.0,1071.0,1071.0,974.0,1071.0,1071.0,1071.0,
3DB30,1172.0,1065.0,1172.0,1172.0,1065.0,1172.0,1172.0,1172.0,
3DB36,1312.0,1193.0,1312.0,1312.0,1193.0,1312.0,1312.0,1312.0,
2DB24,1071.0,974.0,1071.0,1071.0,974.0,1071.0,1071.0,1071.0,
2DB30,1172.0,1065.0,1172.0,1172.0,1065.0,1172.0,1172.0,1172.0,
2DB36,1312.0,1193.0,1312.0,1312.0,1193.0,1312.0,1312.0,1312.0,
SB30,741.0,674.0,741.0,741.0,674.0,741.0,741.0,741.0,
SB33,794.0,722.0,794.0,794.0,722.0,794.0,794.0,794.0,
SB36,812.0,738.0,812.0,812.0,738.0,812.0,812.0,812.0,
SB42,883.0,803.0,883.0,883.0,803.0,883.0,883.0,883.0,
FSM36,880.0,800.0,880.0,880.0,800.0,880.0,880.0,880.0,
CSB42,982.0,893.0,982.0,982.0,893.0,982.0,982.0,982.0,
BLS36-SP,1165.0,1059.0,1165.0,1165.0,1059.0,1165.0,1165.0,1165.0,
BBC42,1036.0,942.0,1036.0,1036.0,942.0,1036.0,1036.0,1036.0,
BWRC6,517.0,470.0,517.0,517.0,470.0,517.0,517.0,517.0,
SP09,494.0,449.0,494.0,494.0,449.0,494.0,494.0,494.0,
BEC24,1030.0,936.0,1030.0,1030.0,936.0,1030.0,1030.0,1030.0,
BES09L/R,648.0,589.0,648.0,648.0,589.0,648.0,648.0,648.0,
PC188424,1472.0,1338.0,1472.0,1472.0,1338.0,1472.0,1472.0,1472.0,
PC189024,1577.0,1434.0,1577.0,1577.0,1434.0,1577.0,1577.0,1577.0,
PC189624,1625.0,1477.0,1625.0,1625.0,1477.0,1625.0,1625.0,1625.0,
PC248424,1707.0,1552.0,1707.0,1707.0,1552.0,1707.0,1707.0,1707.0,
PC249024,1806.0,1642.0,1806.0,1806.0,1642.0,1806.0,1806.0,1806.0,
PC249624,1871.0,1701.0,1871.0,1871.0,1701.0,1871.0,1871.0,1871.0,
PC308424,2119.0,1926.0,2119.0,2119.0,1926.0,2119.0,2119.0,2119.0,
PC309024,2284.0,2076.0,2284.0,2284.0,2076.0,2284.0,2284.0,2284.0,
PC309624,2472.0,2247.0,2472.0,2472.0,2247.0,2472.0,2472.0,2472.0,
OC338424,2349.0,2135.0,2349.0,2349.0,2135.0,2349.0,2349.0,2349.0,
OC339024,2395.0,2177.0,2395.0,2395.0,2177.0,2395.0,2395.0,2395.0,
OC339624,2419.0,2199.0,2419.0,2419.0,2199.0,2419.0,2419.0,2419.0,
W0930,376.0,342.0,376.0,376.0,342.0,376.0,376.0,376.0,
W1230,394.0,358.0,394.0,394.0,358.0,394.0,394.0,394.0,
W1530,424.0,385.0,424.0,424.0,385.0,424.0,424.0,424.0,
W1530GD,451.0,410.0,451.0,451.0,410.0,451.0,451.0,451.0,
W1830,459.0,417.0,459.0,459.0,417.0,459.0,459.0,459.0,
W1830GD,491.0,446.0,491.0,491.0,446.0,491.0,491.0,491.0,
W2130,494.0,449.0,494.0,494.0,449.0,494.0,494.0,494.0,
W2430,541.0,492.0,541.0,541.0,492.0,541.0,541.0,541.0,
W2730,589.0,535.0,589.0,589.0,535.0,589.0,589.0,589.0,
W3030,624.0,567.0,624.0,624.0,567.0,624.0,624.0,624.0,
W3030GD,668.0,607.0,668.0,668.0,607.0,668.0,668.0,668.0,
W3330,666.0,605.0,666.0,666.0,605.0,666.0,666.0,666.0,
W3630,694.0,631.0,694.0,694.0,631.0,694.0,694.0,694.0,
W3630GD,743.0,675.0,743.0,743.0,675.0,743.0,743.0,743.0,
W4230,736.0,669.0,736.0,736.0,669.0,736.0,736.0,736.0,
W0936,388.0,353.0,388.0,388.0,353.0,388.0,388.0,388.0,
W1236,424.0,385.0,424.0,424.0,385.0,424.0,424.0,424.0,
W1536,465.0,423.0,465.0,465.0,423.0,465.0,465.0,465.0,
W1536GD,497.0,452.0,497.0,497.0,452.0,497.0,497.0,497.0,
W1836,536.0,487.0,536.0,536.0,487.0,536.0,536.0,536.0,
W1836GD,573.0,521.0,573.0,573.0,521.0,573.0,573.0,573.0,
W2136,565.0,514.0,565.0,565.0,514.0,565.0,565.0,565.0,
W2436,606.0,551.0,606.0,606.0,551.0,606.0,606.0,606.0,
W2736,648.0,589.0,648.0,648.0,589.0,648.0,648.0,648.0,
W3036,694.0,631.0,694.0,694.0,631.0,694.0,694.0,694.0,
W3036GD,743.0,675.0,743.0,743.0,675.0,743.0,743.0,743.0,
W3336,741.0,674.0,741.0,741.0,674.0,741.0,741.0,741.0,
W3636,771.0,701.0,771.0,771.0,701.0,771.0,771.0,771.0,
W3636GD,825.0,750.0,825.0,825.0,750.0,825.0,825.0,825.0,
W4236,818.0,744.0,818.0,818.0,744.0,818.0,818.0,818.0,
W0942,465.0,423.0,465.0,465.0,423.0,465.0,465.0,465.0,
W1242,459.0,417.0,459.0,459.0,417.0,459.0,459.0,459.0,
W1542,518.0,471.0,518.0,518.0,471.0,518.0,518.0,518.0,
W1542GD,554.0,504.0,554.0,554.0,504.0,554.0,554.0,554.0,
W1515,396.0,360.0,396.0,396.0,360.0,396.0,396.0,396.0,
W1515GD,484.0,440.0,484.0,484.0,440.0,484.0,484.0,484.0,
W1815,396.0,360.0,396.0,396.0,360.0,396.0,396.0,396.0,
W1815GD,484.0,440.0,484.0,484.0,440.0,484.0,484.0,484.0,
W1842,565.0,514.0,565.0,565.0,514.0,565.0,565.0,565.0,
W1842GD,605.0,550.0,605.0,605.0,550.0,605.0,605.0,605.0,
W2115,449.0,408.0,449.0,449.0,408.0,449.0,449.0,449.0,
W2115GD,537.0,488.0,537.0,537.0,488.0,537.0,537.0,537.0,
W2142,641.0,583.0,641.0,641.0,583.0,641.0,641.0,641.0,
W2415,479.0,435.0,479.0,479.0,435.0,479.0,479.0,479.0,
W2415GD,567.0,515.0,567.0,567.0,515.0,567.0,567.0,567.0,
W2442,683.0,621.0,683.0,683.0,621.0,683.0,683.0,683.0,
W2715,567.0,515.0,567.0,567.0,515.0,567.0,567.0,567.0,
W2715GD,677.0,615.0,677.0,677.0,615.0,677.0,677.0,677.0,
W2742,741.0,674.0,741.0,741.0,674.0,741.0,741.0,741.0,
W3042,783.0,712.0,783.0,783.0,712.0,783.0,783.0,783.0,
W3042GD,837.0,761.0,837.0,837.0,761.0,837.0,837.0,837.0,
W3342,847.0,770.0,847.0,847.0,770.0,847.0,847.0,847.0,
W3642,889.0,808.0,889.0,889.0,808.0,889.0,889.0,889.0,
W3642GD,950.0,864.0,950.0,950.0,864.0,950.0,950.0,950.0,
W4242,994.0,904.0,994.0,994.0,904.0,994.0,994.0,994.0,
W3012,383.0,348.0,383.0,383.0,348.0,383.0,383.0,383.0,
W3015,413.0,375.0,413.0,413.0,375.0,413.0,413.0,413.0,
W3015GD,523.0,475.0,523.0,523.0,475.0,523.0,523.0,523.0,
W3018,453.0,412.0,453.0,453.0,412.0,453.0,453.0,453.0,
W3021,488.0,444.0,488.0,488.0,444.0,488.0,488.0,488.0,
W3024,536.0,487.0,536.0,536.0,487.0,536.0,536.0,536.0,
W3312,397.0,361.0,397.0,397.0,361.0,397.0,397.0,397.0,
W3315,427.0,388.0,427.0,427.0,388.0,427.0,427.0,427.0,
W3315GD,537.0,488.0,537.0,537.0,488.0,537.0,537.0,537.0,
W3318,501.0,455.0,501.0,501.0,455.0,501.0,501.0,501.0,
W3321,559.0,508.0,559.0,559.0,508.0,559.0,559.0,559.0,
W3324,627.0,570.0,627.0,627.0,570.0,627.0,627.0,627.0,
W3612,413.0,375.0,413.0,413.0,375.0,413.0,413.0,413.0,
W3615,441.0,401.0,441.0,441.0,401.0,441.0,441.0,441.0,
W3615GD,551.0,501.0,551.0,551.0,501.0,551.0,551.0,551.0,
W3618,548.0,498.0,548.0,548.0,498.0,548.0,548.0,548.0,
W3621,629.0,572.0,629.0,629.0,572.0,629.0,629.0,629.0,
W3624,718.0,653.0,718.0,718.0,653.0,718.0,718.0,718.0,
W361224,559.0,508.0,559.0,559.0,508.0,559.0,559.0,559.0,
W361524,620.0,564.0,620.0,620.0,564.0,620.0,620.0,620.0,
W361824,683.0,621.0,683.0,683.0,621.0,683.0,683.0,683.0,
W362124,718.0,653.0,718.0,718.0,653.0,718.0,718.0,718.0,
W362424,754.0,685.0,754.0,754.0,685.0,754.0,754.0,754.0,
WBC3030,671.0,610.0,671.0,671.0,610.0,671.0,671.0,671.0,
WBC3036,729.0,663.0,729.0,729.0,663.0,729.0,729.0,729.0,
WBC3042,801.0,728.0,801.0,801.0,728.0,801.0,801.0,801.0,
WDC2415,576.0,524.0,576.0,576.0,524.0,576.0,576.0,576.0,
WDC2415GD,634.0,576.4,634.0,634.0,576.4,634.0,634.0,634.0,
WDC2430,659.0,599.0,659.0,659.0,599.0,659.0,659.0,659.0,
WDC2430GD,704.0,640.0,704.0,704.0,640.0,704.0,704.0,704.0,
WDC2436,712.0,647.0,712.0,712.0,647.0,712.0,712.0,712.0,
WDC2436GD,765.0,695.0,765.0,765.0,695.0,765.0,765.0,765.0,
WDC2442,824.0,749.0,824.0,824.0,749.0,824.0,824.0,824.0,
WDC2442GD,880.0,800.0,880.0,880.0,800.0,880.0,880.0,880.0,
WDC273615,789.0,717.0,789.0,789.0,717.0,789.0,789.0,789.0,
WDC273615GD,844.0,767.0,844.0,844.0,767.0,844.0,844.0,844.0,
WDC274215,919.0,835.0,919.0,919.0,835.0,919.0,919.0,919.0,
WDC274215GD,979.0,890.0,979.0,979.0,890.0,979.0,979.0,979.0,
WLS2430,659.0,599.0,659.0,659.0,599.0,659.0,659.0,659.0,
WLS2436,712.0,647.0,712.0,712.0,647.0,712.0,712.0,712.0,
WLS2442,824.0,749.0,824.0,824.0,749.0,824.0,824.0,824.0,
WEC1230,530.0,482.0,530.0,530.0,482.0,530.0,530.0,530.0,
WEC1236,565.0,514.0,565.0,565.0,514.0,565.0,565.0,565.0,
WEC1242,601.0,546.0,601.0,601.0,546.0,601.0,601.0,601.0,
WES930,459.0,417.0,459.0,459.0,417.0,459.0,459.0,459.0,
WES936,518.0,471.0,518.0,518.0,471.0,518.0,518.0,518.0,
WES942,618.0,562.0,618.0,618.0,562.0,618.0,618.0,618.0,
WMC2730,777.0,706.0,777.0,777.0,706.0,777.0,777.0,777.0,
WMC2736,812.0,738.0,812.0,812.0,738.0,812.0,812.0,812.0,
WMC2742,847.0,770.0,847.0,847.0,770.0,847.0,847.0,847.0,
WRC3015,766.0,696.0,766.0,766.0,696.0,766.0,766.0,766.0,
WRC3615,801.0,728.0,801.0,801.0,728.0,801.0,801.0,801.0,
30GR-glass rack,353.0,321.0,353.0,353.0,321.0,353.0,353.0,353.0,
36GR-glass rack,413.0,375.0,413.0,413.0,375.0,413.0,413.0,413.0,
VB09,563.0,512.0,563.0,563.0,512.0,563.0,563.0,563.0,
VB12,618.0,562.0,618.0,618.0,562.0,618.0,618.0,618.0,
VB15,677.0,615.0,677.0,677.0,615.0,677.0,677.0,677.0,
VB18,743.0,675.0,743.0,743.0,675.0,743.0,743.0,743.0,
VDB12,901.0,819.0,901.0,901.0,819.0,901.0,901.0,901.0,
VDB15,936.0,851.0,936.0,936.0,851.0,936.0,936.0,936.0,
VDB18,947.0,861.0,947.0,947.0,861.0,947.0,947.0,947.0,
VDB21,969.0,881.0,969.0,969.0,881.0,969.0,969.0,969.0,
VDB24,990.0,900.0,990.0,990.0,900.0,990.0,990.0,990.0,
VSB24,553.0,503.0,553.0,553.0,503.0,553.0,553.0,553.0,
VSB27,583.0,530.0,583.0,583.0,530.0,583.0,583.0,583.0,
VSB30,606.0,551.0,606.0,606.0,551.0,606.0,606.0,606.0,
VSB36,641.0,583.0,641.0,641.0,583.0,641.0,641.0,641.0,
VSD3021DL,1119.0,1017.0,1119.0,1119.0,1017.0,1119.0,1119.0,1119.0,
VSD3021DR,1119.0,1017.0,1119.0,1119.0,1017.0,1119.0,1119.0,1119.0,
VSD3621DL,1236.0,1124.0,1236.0,1236.0,1124.0,1236.0,1236.0,1236.0,
VSD3621DR,1236.0,1124.0,1236.0,1236.0,1124.0,1236.0,1236.0,1236.0,
VSD4221,1707.0,1552.0,1707.0,1707.0,1552.0,1707.0,1707.0,1707.0,
VSD4821D,2096.0,1905.0,2096.0,2096.0,1905.0,2096.0,2096.0,2096.0,
VSD6021D,2389.0,2172.0,2389.0,2389.0,2172.0,2389.0,2389.0,2389.0,
VSD6021DD,2178.0,1980.0,2178.0,2178.0,1980.0,2178.0,2178.0,2178.0,
KD24,212.0,193.0,212.0,212.0,193.0,212.0,212.0,212.0,
KD30,235.0,214.0,235.0,235.0,214.0,235.0,235.0,235.0,
KD36,283.0,257.0,283.0,283.0,257.0,283.0,283.0,283.0,
DV1248,724.0,658.0,724.0,724.0,658.0,724.0,724.0,724.0,
SVA188421,2048.0,1862.0,2048.0,2048.0,1862.0,2048.0,2048.0,2048.0,
ROT15,118.0,117.7,118.0,118.0,117.7,118.0,118.0,118.0,
ROT18,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,
ROT21,130.0,130.0,130.0,130.0,130.0,130.0,130.0,130.0,
ROT24,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,
ROT27,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,
ROT30,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,
ROT33,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,
ROT36,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,
DEP12*30*1/4,47.0,45.0,47.0,47.0,,47.0,47.0,47.0,45.0
DEP12*36*1/4,53.0,50.0,53.0,53.0,,53.0,53.0,53.0,50.0
DEP12*42*1/4,58.0,55.0,58.0,58.0,,58.0,58.0,58.0,55.0
DEP21*34.5*1/4,79.0,75.0,79.0,79.0,,79.0,79.0,79.0,75.0
DEP24*34.5*1/4,89.0,85.0,89.0,89.0,,89.0,89.0,89.0,85.0
DEP24*96*1/4,184.0,175.0,184.0,184.0,,184.0,184.0,184.0,175.0
PNL 34.5*96*1/4,336.0,321.0,336.0,336.0,,336.0,336.0,336.0,321.0
PNL34.5*96*1/2-VERTICAL,375.0,350.0,375.0,375.0,,375.0,375.0,375.0,350.0
DWR3,130.0,123.0,130.0,130.0,,130.0,130.0,130.0,123.05000000000001
REP1.5x96,435.0,425.0,435.0,435.0,,435.0,435.0,435.0,425.0
REP3x96,480.0,467.0,480.0,480.0,,480.0,480.0,480.0,467.0
BF3,67.0,64.0,67.0,67.0,,67.0,67.0,67.0,64.2
BF6,123.0,118.0,123.0,123.0,,123.0,123.0,123.0,117.7
WF330,45.0,43.0,45.0,45.0,,45.0,45.0,45.0,42.8
WF336,50.0,48.0,50.0,50.0,,50.0,50.0,50.0,48.150000000000006
WF342,59.0,57.0,59.0,59.0,,59.0,59.0,59.0,56.71
WF396,136.0,130.0,136.0,136.0,,136.0,136.0,136.0,129.47
WF630,78.0,75.0,78.0,78.0,,78.0,78.0,78.0,74.9
WF636,90.0,86.0,90.0,90.0,,90.0,90.0,90.0,85.6
WF642,118.0,112.0,118.0,118.0,,118.0,118.0,118.0,112.35
WF696,272.0,260.0,272.0,272.0,,272.0,272.0,272.0,260.01
TF1.5*96,67.0,64.0,67.0,67.0,,67.0,67.0,67.0,64.2
TF396,134.0,129.0,134.0,134.0,,134.0,134.0,134.0,128.4
TF696,224.0,214.0,224.0,224.0,,224.0,224.0,224.0,214.0
SM8,37.0,35.0,37.0,37.0,,37.0,37.0,37.0,35.31
SDM8,44.0,42.0,44.0,44.0,,44.0,44.0,44.0,42.0
Cove Molding,112.0,107.0,112.0,112.0,,112.0,112.0,112.0,107.0
OCM8,75.0,72.0,75.0,75.0,,75.0,75.0,75.0,71.69
LM8,106.0,102.0,106.0,106.0,,106.0,106.0,106.0,101.65
QRM8,67.0,64.0,67.0,67.0,,67.0,67.0,67.0,64.2
SCM2 1/4,171.0,107.0,171.0,171.0,,171.0,171.0,171.0,107.0
SCM2 1/4-HEEL,,144.0,,,,214.0,,,
SCM3 5/8,198.0,127.0,198.0,198.0,,198.0,198.0,198.0,127.0
SCM3 5/8-HEEL,,171.0,,,,249.0,,,
BM8,168.0,161.0,168.0,168.0,,168.0,168.0,168.0,160.5
TK8,49.0,47.0,49.0,49.0,,49.0,49.0,49.0,47.080000000000005
BFD21,231.0,210.0,231.0,231.0,,231.0,231.0,231.0,210.0
BFD24,290.0,235.0,290.0,290.0,,290.0,290.0,290.0,235.4
FD1230,146.0,139.0,146.0,146.0,,146.0,146.0,146.0,139.1
FD1236,162.0,155.0,162.0,162.0,,162.0,162.0,162.0,155.15
FD1242,168.0,161.0,168.0,168.0,,168.0,168.0,168.0,160.5
MIRROR2430,213.0,200.0,213.0,213.0,,213.0,213.0,213.0,200.0
MIRROR3030,266.0,250.0,266.0,266.0,,266.0,266.0,266.0,250.0
POST,392.0,375.0,392.0,392.0,,392.0,392.0,392.0,374.5
TRASH KIT-18,550.0,550.0,550.0,550.0,,550.0,550.0,550.0,550.0
TOUCH UP,96.0,96.0,96.0,96.0,,96.0,96.0,96.0,96.0
Gallon Paint,373.0,350.0,,373.0,,373.0,,373.0,350.0
Rattle Can,106.0,100.0,,106.0,,106.0,,106.0,100.0
